City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,ewo,CG,75.0,light rain,-0.8725,14.8206,Residence Elonda Ewo
189,ixtapa,MX,80.22,few clouds,20.7,-105.2,hotel la terminal
191,benghazi,LY,67.66,clear sky,32.1167,20.0667,Tibesti Hotel
193,anajatuba,BR,74.64,heavy intensity rain,-3.2644,-44.6197,Pousada Por do Sol
195,beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
196,vilhena,BR,72.52,few clouds,-12.7406,-60.1458,Hotel Mirage
199,vao,NC,73.89,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
201,nassau,US,70.09,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
202,marsh harbour,BS,78.26,broken clouds,26.5412,-77.0636,Abaco Beach Resort
206,cassilandia,BR,67.17,overcast clouds,-19.1133,-51.7342,Delirius Motel
211,bowen,AU,79.2,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
212,vangaindrano,MG,66.7,moderate rain,-23.35,47.6,Hotel Fanilo
214,bethel,US,68.32,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
217,hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
218,pangal,IN,84.06,overcast clouds,16.2761,78.1189,వంగలి శివరాజు
220,inhambane,MZ,70.18,light rain,-23.865,35.3833,Oceano
221,meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
222,damaturu,NG,84.96,scattered clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
223,waiuku,NZ,69.26,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
225,ambilobe,MG,68.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
227,north branch,US,70.09,clear sky,45.5113,-92.9802,AmericInn by Wyndham North Branch
233,mayumba,GA,76.95,broken clouds,-3.432,10.6554,LIKWALE LODGE
234,hervey bay,AU,80.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
236,port-gentil,GA,80.2,light rain,-0.7193,8.7815,Fengshui Residence
238,garmsar,IR,72.68,clear sky,35.2182,52.3409,مجتمع مرصاد
239,yen bai,VN,69.49,overcast clouds,21.7,104.8667,AK MOTEL
241,columbia,US,79.48,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
242,sambava,MG,70.81,clear sky,-14.2667,50.1667,Melrose
243,saint-joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
249,roebourne,AU,77.94,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
251,eureka,US,71.74,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
254,luderitz,,71.6,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
257,charters towers,AU,77.95,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
260,the valley,AI,78.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
262,stabat,ID,79.0,moderate rain,3.761,98.4513,Link VII damai
270,koumac,NC,81.25,broken clouds,-20.5667,164.2833,Le Monitel
272,san juan nepomuceno,CO,77.58,overcast clouds,9.9516,-75.082,HOTEL ALCAZAR DE LUCAS
273,san ramon,US,77.58,clear sky,37.7799,-121.978,San Ramon Marriott
276,san quintin,MX,65.44,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
279,mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
281,manzanillo,CU,74.52,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
288,rumonge,BI,70.14,light rain,-3.9736,29.4386,Kwetu Guest House
289,sola,VU,80.74,overcast clouds,-13.8833,167.55,Leumerus Bungalows
293,north bend,US,70.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
294,yaring,TH,82.29,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
297,bang saphan,TH,82.69,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
298,vila franca do campo,PT,65.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
299,namatanai,PG,84.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
301,mabaruma,GY,75.47,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
304,jalu,LY,70.92,clear sky,29.0331,21.5482,صاحبة الفخامة
305,maneadero,MX,65.1,few clouds,31.7167,-116.5667,Casa De Thompson
307,rio pomba,BR,67.75,clear sky,-21.2747,-43.1792,San Marino Hotel
311,salinopolis,BR,79.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
314,keti bandar,PK,81.86,clear sky,24.1447,67.4497,Haji laloo memon house
320,dondo,MZ,76.51,light rain,-19.6094,34.7431,Arco Iris
321,carroll,US,68.23,scattered clouds,39.5501,-77.0164,Best Western Westminster Hotel
322,olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
325,muisne,EC,78.26,light rain,0.6,-80.0333,Quinta Samay
326,voh,NC,83.32,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
328,hamilton,US,74.84,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
331,manicore,BR,75.47,light rain,-5.8092,-61.3003,Hotel Durval
332,alofi,NU,76.86,light rain,-19.0595,-169.9187,Taloa Heights
334,padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
338,port macquarie,AU,74.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
341,pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
345,road town,VG,80.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
347,karratha,AU,78.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
349,kirakira,SB,83.53,scattered clouds,-10.4544,161.9205,SanBiz Lodge
351,bubaque,GW,78.89,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
355,iracoubo,GF,77.77,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
361,marawi,PH,78.6,overcast clouds,7.9986,124.2928,Derogongan Residence
364,chengde,CN,67.23,clear sky,40.9725,117.9361,Super 8 Hotel
369,pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
372,mwene-ditu,CD,69.6,overcast clouds,-7.0,23.45,African'zuri
376,rockingham,US,70.21,moderate rain,42.9668,-71.0995,Iron Wheel Mobile Home Park
378,kiama,AU,73.26,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
